iter,beta_mu,beta_rho,gamma_mu,gamma_rho,delta_mu,delta_rho,loss
0,0.23950849862379053,3.732628374202961,34.60689219725572,7.67937671920416,0.03024564545517583,0.08454888399366334,0.00015941879309116865
6,0.005298787730828591,1.0132989672841637,28.25087741003714,4.592495767179541,0.7751767155364718,0.3517754043267327,5.0813483023690174e-05
92,0.20853676999503912,0.7110103193904199,15.336827661305637,2.057967996308643,0.07075963572304123,0.08956730473190844,4.004268040389325e-05
160,0.15951480196146284,0.7184443352331726,27.512543392698756,2.8192673197685925,0.7336875108049564,0.005254743656758876,3.1437351628384197e-05
208,0.39603928277262834,0.19993069311690814,37.21834998519989,9.541337038854834,0.32930312399405304,0.23061925631645736,2.28136780349294e-05
289,0.34065042942978796,0.29315221883879916,33.975958488998415,9.307659845021998,0.39732386365454364,0.2604846475115397,2.1075128609732158e-05
474,0.37604111683911867,0.1251718245704797,27.583570733035238,5.790354407846693,0.07464780945408589,0.03039404769945625,1.5549183965068507e-05
720,0.2825463528173955,0.006074446268037881,18.376263855274203,6.613430729467068,0.39203372453787866,0.45378603350857377,9.70524205234471e-06
744,0.11913136142040648,0.10341258856981117,37.54855530784999,5.416580184583491,0.23999171336535963,0.2871341551357947,8.203038858124396e-06
3431,0.16009286628261732,0.0055603863505065965,21.147330722983092,8.340768007512736,0.40184062657769704,0.2574012770741849,5.895872723253893e-06
10698,0.13307567872559434,0.04876128308910044,25.129170181577443,4.5808669205806964,0.008100929939808377,0.32105115208303014,5.530418366571394e-06
23180,0.1776830510404831,0.01411204629497731,34.87687347367231,3.9312062882339838,0.05617580196720107,0.34102031062867594,4.59077921831029e-06
66734,0.14399373216190503,0.013522169122940908,37.099281156015834,5.61087550817205,0.28828287224797766,0.4279060622242062,4.501042083121634e-06
